1 1 1.00000000000000000000000000000e0
2 1 4.13398642353842279765877461506e-1
2 2 1.00000000000000000000000000000e0
3 1 3.86493785184738692767213476356e-1
3 2 4.07853829446973961956605193365e-1
3 3 1.00000000000000000000000000000e0
4 1 3.74510198825329283538756445412e-1
4 2 4.13703071252738689495414406147e-1
4 3 4.06391440054537443400950713441e-1
4 4 1.00000000000000000000000000000e0
5 1 3.68097203398691253293359098734e-1
5 2 3.88198720485676718741388543171e-1
5 3 4.07801327827562650191911218144e-1
5 4 4.05849012052352196277378406503e-1
5 5 1.00000000000000000000000000000e0
6 1 3.64253198986130260356422222802e-1
6 2 3.92707958520335524753147597793e-1
6 3 4.11685449639737790190861996077e-1
6 4 4.07688754910537646300850866361e-1
6 5 4.05605657158420302945176827677e-1
6 6 1.00000000000000000000000000000e0
7 1 3.61763054898476260482889393628e-1
7 2 3.81049299509336342180026618186e-1
7 3 3.88198636384493937294416533758e-1
7 4 4.09319869939346608052321105694e-1
7 5 4.06378677881960918260984357226e-1
7 6 4.05481945458553800607332525227e-1
7 7 1.00000000000000000000000000000e0
8 1 3.60055790938472536169552533993e-1
8 2 3.84357537279894404264954672074e-1
8 3 3.97400889476587987127966855261e-1
8 4 4.09908919793836613473581001377e-1
8 5 4.06514255168472154535166171915e-1
8 6 4.06229401446482830125679110296e-1
8 7 4.05413168488408106957010717200e-1
8 8 1.00000000000000000000000000000e0
9 1 3.58833400241622569841497042605e-1
9 2 3.77719390507571279885199465112e-1
9 3 3.91287163090181100176807058352e-1
9 4 3.88029679509725948482251341009e-1
9 5 4.09540520247541991604999408871e-1
9 6 4.07130636327087374286741014936e-1
9 7 4.05799136940428066330464053844e-1
9 8 4.05372255059407733372030812873e-1
9 9 1.00000000000000000000000000000e0
10 1 3.57927653297198858761210285663e-1
10 2 3.80184679575642794968141620127e-1
10 3 3.85224166058002662248160300213e-1
10 4 4.00173194331998542141386315157e-1
10 5 4.08274195186026692315759183625e-1
10 6 4.08120760657223853882713500061e-1
10 7 4.06667006629177646236079533134e-1
10 8 4.05734385286102383378099072128e-1
10 9 4.05346587566893552468086456926e-1
10 10 1.00000000000000000000000000000e0
11 1 3.57237603817406254443168092882e-1
11 2 3.75907755379980132954256301805e-1
11 3 3.91571656361120786642958160477e-1
11 4 3.96256420191930178210205710987e-1
11 5 3.87904772280272019850677112602e-1
11 6 4.08941673339749692530545171521e-1
11 7 4.05882181800940292752754542568e-1
11 8 4.05930233430889855771050890150e-1
11 9 4.05556427236704992057970743848e-1
11 10 4.05329777367725216790350510623e-1
11 11 1.00000000000000000000000000000e0
12 1 3.56699639192664888682016388366e-1
12 2 3.77797543506605297694421985640e-1
12 3 3.84365840642442950531940012060e-1
12 4 3.92010382739825462087562132430e-1
12 5 4.01949336606751614447415279359e-1
12 6 4.06983210321375642995442358352e-1
12 7 4.08085342781857106057615972417e-1
12 8 4.06760411722020894581682066303e-1
12 9 4.05987451361148368470482021762e-1
12 10 4.05527410352897432118038478815e-1
12 11 4.05318369719054899820657343191e-1
12 12 1.00000000000000000000000000000e0
13 1 3.56272028635212647889467156862e-1
13 2 3.74814775260407476695297635259e-1
13 3 3.84992551159071131459032015046e-1
13 4 3.88599811743140178385376231161e-1
13 5 3.98649388541663927369511655648e-1
13 6 3.87845161768186474991088512928e-1
13 7 4.08403676413125044278482274330e-1
13 8 4.07526494008887315840595501000e-1
13 9 4.06555037538004338582475610888e-1
13 10 4.05862872003983913984382539793e-1
13 11 4.05441842337740696252078362496e-1
13 12 4.05310393348375285469479572086e-1
13 13 1.00000000000000000000000000000e0
14 1 3.55926459636559041468836588644e-1
14 2 3.76303082305704640613497047960e-1
14 3 3.86805407781258165975256940119e-1
14 4 3.95882537563796725163438813262e-1
14 5 3.95346038182502457915636429754e-1
14 6 4.03283301869524661249197310403e-1
14 7 4.05898053391126572564339059837e-1
14 8 4.08273837268698304913591446443e-1
14 9 4.05503811679250585408449163333e-1
14 10 4.06293119828840530944757742844e-1
14 11 4.05602597275147802548218758232e-1
14 12 4.05427858711204335354927783862e-1
14 13 4.05304671960990922569008141734e-1
14 14 1.00000000000000000000000000000e0
15 1 3.55643166518951676424194145521e-1
15 2 3.74105125199762888942074901821e-1
15 3 3.82166707662309616367061072108e-1
15 4 3.88046109217218101687350465678e-1
15 5 3.92656630343230616771079965421e-1
15 6 3.99917886843281452569583303509e-1
15 7 3.87839007708427335897523207808e-1
15 8 4.07941429399581298810804566128e-1
15 9 4.07380087406661278614326237350e-1
15 10 4.06457408286760314042174306388e-1
15 11 4.05702624987703681899152502425e-1
15 12 4.05611097571682670467663298919e-1
15 13 4.05382098539402498095518425556e-1
15 14 4.05300476503657036582384234186e-1
15 15 1.00000000000000000000000000000e0
16 1 3.55408006766400916488806531168e-1
16 2 3.75304956999743502699748278751e-1
16 3 3.84905466726371689213164902778e-1
16 4 3.88942724856775818387258602433e-1
16 5 3.91386944598052503452919342031e-1
16 6 3.98072905357309601675421915671e-1
16 7 4.04316830626758102141013515651e-1
16 8 4.05032099543613572900317368796e-1
16 9 4.07827071118388994083338864168e-1
16 10 4.07191510598762723261274765330e-1
16 11 4.06356344498582186099482691889e-1
16 12 4.05844460941055170169864663811e-1
16 13 4.05568505501831648284926784771e-1
16 14 4.05374914040265943955729600614e-1
16 15 4.05297340148718321997741067099e-1
16 16 1.00000000000000000000000000000e0
17 1 3.55210642407102623781572787601e-1
17 2 3.73618415906464686586679586377e-1
17 3 3.83497350701412905359690835537e-1
17 4 3.89795229171204545189077618072e-1
17 5 3.98698688855360316119202642497e-1
17 6 3.95955503736634285462234329029e-1
17 7 4.00827134751868816381887474397e-1
17 8 3.87871518058354123388024143953e-1
17 9 4.07408117945238440283046521218e-1
17 10 4.07466688673491454308581093163e-1
17 11 4.05253419136286497426950984356e-1
17 12 4.06206128333251080259273373367e-1
17 13 4.05781394899497006439431223596e-1
17 14 4.05455934767515532723855334661e-1
17 15 4.05348424520291193949312523289e-1
17 16 4.05294955388287053099435171322e-1
17 17 1.00000000000000000000000000000e0
18 1 3.55043373161416485447106518151e-1
18 2 3.74605009449530265305608895753e-1
18 3 3.81846500289682420156333535642e-1
18 4 3.90205780504012006864593835122e-1
